"User ID";"Age Group";"Gender";"Country";"Device Type";"Subscription Plan";"Preferred Watch Time";"Top Watched Language";"Average Daily Watch Minutes";"Number of Titles Watched";"Average Episode Length (minutes)";"Account Age (Months)";"Days Since Last Login";"Average Completion Rate (%)";"Number of Rewatches";"Preferred Genre (Target Variable)"
2000;"25-34";"Male";"Canada";"Laptop";"Premium";"Afternoon";"Hindi";75;82;28;27;1;91.66;6;"Action"
2001;"18-24";"Male";"Australia";"Mobile";"Basic";"Afternoon";"Hindi";261;99;54;47;4;86.1;4;"Comedy"
2002;"45-54";"Female";"USA";"Laptop";"Basic";"Afternoon";"French";211;138;54;66;27;73.61;3;"Thriller"
2003;"55+";"Male";"Canada";"Laptop";"Premium";;"Spanish";107;21;41;43;13;68.38;0;"Drama"
2004;"55+";"Female";"India";"Tablet";"Standard";"Morning";"Japanese";233;138;48;19;22;68.93;2;"Thriller"
2005;"55+";"Female";"Australia";"Mobile";"Premium";"Morning";"German";83;77;55;68;22;87.06;3;"Thriller"
2006;"45-54";"Non-binary";"India";"TV";"Premium";"Morning";"French";116;144;52;10;24;62.95;2;"Thriller"
2007;"45-54";"Male";"Australia";"Mobile";"Premium";"Night";"French";129;125;28;22;2;66.2;2;"Drama"
2008;"25-34";"Non-binary";"USA";"Laptop";"Premium";"Morning";"German";68;101;43;66;13;65.22;5;"Action"
2009;"55+";"Non-binary";"USA";"Tablet";"Premium";"Afternoon";"German";215;48;48;2;0;88.9;0;"Drama"
2010;"13-17";"Male";"Australia";"Mobile";"Premium";"Morning";"German";203;41;31;;8;88.58;5;"Comedy"
2011;"25-34";"Male";"Canada";"Mobile";"Premium";"Night";"German";259;117;33;19;15;58.1;2;"Drama"
2012;"55+";"Female";"Canada";"Mobile";"Standard";"Night";"Japanese";175;88;46;30;16;61.05;2;"Drama"
2013;"45-54";"Male";"Canada";"TV";"Premium";"Morning";"German";172;12;26;6;7;86.49;0;"Drama"
2014;"45-54";"Female";"UK";"TV";"Basic";"Night";"Japanese";135;119;51;27;29;76.38;1;"Thriller"
2015;"45-54";;"Germany";"TV";"Premium";"Night";"Japanese";261;120;40;15;14;77.61;3;"Thriller"
2016;"55+";"Non-binary";"Germany";"TV";"Standard";"Morning";"Japanese";245;24;29;31;29;85.98;1;"Drama"
2017;"45-54";"Female";"Germany";"Tablet";"Basic";"Night";"Hindi";214;60;36;44;20;69.88;1;"Thriller"
2018;"18-24";"Male";"Canada";"Tablet";"Premium";"Night";"English";165;116;50;10;7;79.76;6;"Comedy"
2019;"45-54";"Male";"USA";"TV";"Premium";"Morning";"French";210;30;39;21;6;72.89;1;"Drama"
2020;"55+";"Female";"UK";"Laptop";"Basic";"Afternoon";"Spanish";177;50;27;47;8;70.08;1;"Drama"
2021;"25-34";"Non-binary";"Canada";"TV";"Premium";"Afternoon";"Hindi";49;129;33;55;1;75.52;2;"Drama"
2022;"45-54";"Female";"USA";"TV";"Standard";"Night";"English";173;12;52;36;24;72.82;2;"Drama"
2023;"35-44";"Male";"UK";"Laptop";"Premium";"Evening";"French";55;138;49;58;9;87.98;3;"Thriller"
2024;"18-24";"Male";"USA";"Mobile";"Standard";"Evening";"Hindi";227;89;52;19;4;82.04;6;"Action"
2025;"55+";"Female";"Australia";"Laptop";"Premium";"Morning";"French";65;108;45;64;15;67.15;4;"Thriller"
2026;"45-54";"Male";"USA";"Laptop";"Basic";"Morning";"Japanese";60;114;53;10;20;77.34;4;"Thriller"
2027;"35-44";"Non-binary";"UK";"Tablet";"Standard";"Afternoon";"Japanese";139;104;49;49;0;68.44;2;"Drama"
2028;"55+";"Female";"Canada";"Mobile";"Premium";"Evening";"German";225;74;54;54;5;65.42;1;"Drama"
2029;"25-34";"Non-binary";"Germany";"Laptop";"Premium";"Morning";"Japanese";208;50;35;61;9;69.97;5;"Action"
2030;"18-24";"Non-binary";"UK";"TV";"Basic";"Evening";"Hindi";145;76;43;59;9;74.35;5;"Comedy"
2031;"45-54";"Female";"Canada";"Laptop";"Basic";"Evening";"French";69;133;35;2;25;65.51;2;"Drama"
2032;"25-34";"Female";"Canada";"Tablet";"Standard";"Night";"Spanish";172;51;49;8;25;62.64;3;"Thriller"
2033;"55+";"Male";"India";"Laptop";"Standard";"Night";"French";177;78;25;19;18;78.45;2;"Thriller"
2034;"35-44";"Male";"Australia";"TV";"Standard";"Evening";"Japanese";279;110;56;68;12;88.13;1;"Drama"
2035;"55+";"Female";"India";"Mobile";"Premium";"Afternoon";"French";134;149;45;;25;78.25;1;"Thriller"
2036;"55+";"Female";"Germany";"Tablet";"Premium";"Morning";"English";178;73;37;22;18;74.49;4;"Thriller"
2037;"18-24";"Male";"UK";"Mobile";"Standard";"Morning";"French";269;117;58;17;2;88.92;3;"Action"
2038;"45-54";"Male";"India";"Tablet";"Premium";"Afternoon";"Hindi";230;60;41;63;12;76.08;3;"Thriller"
2039;"25-34";"Male";"Germany";"TV";"Basic";"Night";"English";174;82;43;26;3;75.57;1;"Thriller"
2040;"18-24";"Female";"Canada";"Tablet";"Premium";"Night";"German";226;69;34;36;24;96.53;6;"Comedy"
2041;"35-44";"Female";"UK";"Mobile";"Standard";"Afternoon";"German";179;89;33;45;28;68.97;1;"Drama"
2042;"45-54";"Male";"India";"Mobile";"Premium";"Afternoon";"French";103;133;35;30;7;71.72;3;"Thriller"
2043;"18-24";;"USA";"Laptop";"Basic";"Night";"Spanish";162;23;55;21;11;70.88;3;"Action"
2044;"35-44";"Non-binary";"Germany";"Mobile";"Standard";"Evening";"Hindi";276;17;26;20;21;88.97;2;"Action"
2045;"35-44";"Male";"Germany";"Laptop";"Standard";"Night";"Spanish";152;36;48;42;23;85.31;1;"Drama"
2046;"25-34";"Female";"Australia";"Mobile";"Standard";"Evening";"English";80;59;29;56;23;60.9;1;"Drama"
2047;"55+";"Female";"USA";"Laptop";"Standard";"Morning";"Spanish";227;66;54;12;16;84.23;4;"Thriller"
2048;"35-44";"Non-binary";"UK";"TV";"Premium";"Morning";"English";239;12;59;8;24;88.06;5;"Action"
2049;"35-44";"Male";"India";"Laptop";"Basic";"Evening";"Spanish";67;43;41;63;0;77.35;0;"Drama"
2050;"55+";"Non-binary";"Canada";"Mobile";"Premium";"Evening";"German";162;35;55;56;26;57.77;0;"Drama"
2051;"13-17";"Non-binary";"India";"TV";"Premium";"Night";"Hindi";119;124;26;7;1;97.69;8;"Comedy"
2052;"35-44";"Male";"UK";"Tablet";"Standard";"Afternoon";"Spanish";230;95;40;62;8;91.36;7;"Action"
2053;"45-54";"Non-binary";"UK";"Mobile";"Basic";"Evening";"French";42;139;45;61;22;66.17;0;"Drama"
2054;"18-24";"Female";"UK";"Laptop";"Premium";"Morning";"English";140;120;54;10;25;73.28;4;"Comedy"
2055;"55+";"Non-binary";"UK";"Tablet";"Basic";"Night";"French";71;115;25;50;0;59.77;0;"Drama"
2056;"55+";"Male";"Germany";"Laptop";"Basic";"Morning";"Hindi";60;144;38;20;18;82.14;1;"Drama"
2057;"55+";"Female";"India";"Tablet";"Basic";"Night";"French";160;28;40;28;29;78.92;3;"Thriller"
